#TYPE Selected.System.ServiceProcess.ServiceController
"Name","DisplayName","Status","StartType"
"LSC.Services.SystemService","Lenovo Solution Center System Service","Stopped","Manual"
"LSM","Local Session Manager","Running","Automatic"
"MapsBroker","Downloaded Maps Manager","Stopped","Automatic"
"MessagingService_87a52","MessagingService_87a52","Stopped","Automatic"
"MozillaMaintenance","Mozilla Maintenance Service","Stopped","Manual"
"MpsSvc","Windows Firewall","Running","Automatic"
"MSDTC","Distributed Transaction Coordinator","Stopped","Manual"
"MSiSCSI","Microsoft iSCSI Initiator Service","Stopped","Manual"
"msiserver","Windows Installer","Stopped","Manual"
"MSMQ","Message Queuing","Running","Automatic"
"MyWiFiDHCPDNS","Wireless PAN DHCP Server","Stopped","Manual"
"NaturalAuthentication","Natural Authentication","Stopped","Manual"
"NcaSvc","Network Connectivity Assistant","Stopped","Manual"
"NcbService","Network Connection Broker","Running","Manual"
"NcdAutoSetup","Network Connected Devices Auto-Setup","Stopped","Manual"
"Net Driver HPZ12","Net Driver HPZ12","Stopped","Automatic"
"Netlogon","Netlogon","Stopped","Manual"
"Netman","Network Connections","Stopped","Manual"
"NetMsmqActivator","Net.Msmq Listener Adapter","Running","Automatic"
"NetPipeActivator","Net.Pipe Listener Adapter","Running","Automatic"
"netprofm","Network List Service","Running","Manual"
"NetSetupSvc","Network Setup Service","Stopped","Manual"
"NetTcpActivator","Net.Tcp Listener Adapter","Stopped","Automatic"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Stopped","Disabled"
"NgcCtnrSvc","Microsoft Passport Container","Stopped","Manual"
"NgcSvc","Microsoft Passport","Stopped","Manual"
"NlaSvc","Network Location Awareness","Running","Automatic"
"nsi","Network Store Interface Service","Running","Automatic"
"omaha","Nok Nok Labs Update Service (omaha)","Stopped","Automatic"
"omaham","Nok Nok Labs Update Service (omaham)","Stopped","Manual"
"OneSyncSvc_87a52","Sync Host_87a52","Running","Automatic"
"ose64","Office 64 Source Engine","Stopped","Manual"
"p2pimsvc","Peer Networking Identity Manager","Stopped","Manual"
"p2psvc","Peer Networking Grouping","Stopped","Manual"
"PcaSvc","Program Compatibility Assistant Service","Running","Automatic"
"PeerDistSvc","BranchCache","Stopped","Manual"
"PerfHost","Performance Counter DLL Host","Stopped","Manual"
"PhoneSvc","Phone Service","Stopped","Manual"
"PimIndexMaintenanceSvc_87a52","Contact Data_87a52","Running","Manual"
"pla","Performance Logs & Alerts","Stopped","Manual"
"PlugPlay","Plug and Play","Running","Manual"
"Pml Driver HPZ12","Pml Driver HPZ12","Stopped","Automatic"
"PNRPAutoReg","PNRP Machine Name Publication Service","Stopped","Manual"
"PNRPsvc","Peer Name Resolution Protocol","Stopped","Manual"
"PolicyAgent","IPsec Policy Agent","Running","Manual"
"Power","Power","Running","Automatic"
"PrintNotify","Printer Extensions and Notifications","Stopped","Manual"
"ProfSvc","User Profile Service","Running","Automatic"
"QuickControlMasterSvc","Lenovo QuickControl Master Service","Stopped","Automatic"
"QuickControlService","Lenovo QuickControl Service","Running","Manual"
"QWAVE","Quality Windows Audio Video Experience","Stopped","Manual"
"RasAuto","Remote Access Auto Connection Manager","Stopped","Manual"
"RasMan","Remote Access Connection Manager","Running","Manual"
